time    	numwrites	writesize
0.362	10000	1000
0.157	20000	1000
0.426	40000	1000
0.755	80000	1000
1.443	160000	1000
2.966	320000	1000
6.005	640000	1000
12.799	1280000	1000
17.409	2560000	1000
35.897	5120000	1000
59.972	10240000	1000
114.483	20480000	1000
227.769	40960000	1000
489.748	81920000	1000
886.905	163840000	1000
real	time    	numwrites	writesize
real	0m0.362s	10000	1000
real	0m0.157s	20000	1000
real	0m0.426s	40000	1000
real	0m0.755s	80000	1000
real	0m1.443s	160000	1000
real	0m2.966s	320000	1000
real	0m6.005s	640000	1000
real	0m12.799s	1280000	1000
real	0m17.409s	2560000	1000
real	0m35.897s	5120000	1000
real	0m59.972s	10240000	1000
real	1m54.483s	20480000	1000
real	3m47.769s	40960000	1000
real	8m9.748s	81920000	1000
real	14m46.905s	163840000	1000
real	0m0.002s	10000	
real	0m0.002s	20000	
real	0m0.002s	40000	
real	0m0.002s	80000	
real	0m0.002s	160000	
real	0m0.002s	320000	
real	0m0.002s	640000	
real	0m0.002s	1280000	
real	0m0.002s	2560000	
real	0m0.002s	5120000	
real	0m0.002s	10240000	
real	0m0.002s	20480000	
real	0m0.002s	40960000	
real	0m0.002s	81920000	
real	0m0.002s	163840000	
