time    	numwrites	size
0.066	10000	1024
0.167	10000	2048
0.347	10000	4096
0.629	10000	8192
1.378	10000	16384
2.631	10000	32768
5.514	10000	65536
10.925	10000	131072
18.043	10000	262144
34.060	10000	524288
59.370	10000	1048576
112.062	10000	2097152
222.831	10000	4194304
445.464	10000	8388608
886.130	10000	16777216
0.065	10000	1024
0.145	10000	2048
0.364	10000	4096
0.645	10000	8192
1.387	10000	16384
2.709	10000	32768
5.417	10000	65536
10.878	10000	131072
22.730	10000	262144
32.313	10000	524288
58.107	10000	1048576
114.997	10000	2097152
227.725	10000	4194304
431.349	10000	8388608
845.425	10000	16777216
0.066	10000	1024
0.167	10000	2048
0.347	10000	4096
0.629	10000	8192
1.378	10000	16384
2.631	10000	32768
5.514	10000	65536
10.925	10000	131072
18.043	10000	262144
34.060	10000	524288
59.370	10000	1048576
112.062	10000	2097152
222.831	10000	4194304
445.464	10000	8388608
886.130	10000	16777216
real	time    	numwrites	size
real	0m0.066s	10000	1024
real	0m0.167s	10000	2048
real	0m0.347s	10000	4096
real	0m0.629s	10000	8192
real	0m1.378s	10000	16384
real	0m2.631s	10000	32768
real	0m5.514s	10000	65536
real	0m10.925s	10000	131072
real	0m18.043s	10000	262144
real	0m34.060s	10000	524288
real	0m59.370s	10000	1048576
real	1m52.062s	10000	2097152
real	3m42.831s	10000	4194304
real	7m25.464s	10000	8388608
real	14m46.130s	10000	16777216
real	0m0.065s	10000	1024
real	0m0.145s	10000	2048
real	0m0.364s	10000	4096
real	0m0.645s	10000	8192
real	0m1.387s	10000	16384
real	0m2.709s	10000	32768
real	0m5.417s	10000	65536
real	0m10.878s	10000	131072
real	0m22.730s	10000	262144
real	0m32.313s	10000	524288
real	0m58.107s	10000	1048576
real	1m54.997s	10000	2097152
real	3m47.725s	10000	4194304
real	7m11.349s	10000	8388608
real	14m5.425s	10000	16777216
real	time    	numwrites	size
real	0m0.066s	10000	1024
real	0m0.167s	10000	2048
real	0m0.347s	10000	4096
real	0m0.629s	10000	8192
real	0m1.378s	10000	16384
real	0m2.631s	10000	32768
real	0m5.514s	10000	65536
real	0m10.925s	10000	131072
real	0m18.043s	10000	262144
real	0m34.060s	10000	524288
real	0m59.370s	10000	1048576
real	1m52.062s	10000	2097152
real	3m42.831s	10000	4194304
real	7m25.464s	10000	8388608
real	14m46.130s	10000	16777216
