time    	numwrites	writesize
0.060s	10000	1000
0.113s	10000	2000
0.213s	10000	4000
0.414s	10000	8000
0.821s	10000	16000
1.651s	10000	32000
3.266s	10000	64000
6.474s	10000	128000
13.065s	10000	256000
26.471s	10000	512000
53.234s	10000	1024000
105.239s	10000	2048000
225.130s	10000	4096000
445.630s	10000	8192000
866.840s	10000	16384000
real	time    	numwrites	writesize
real	0m0.060s	10000	1000
real	0m0.113s	10000	2000
real	0m0.213s	10000	4000
real	0m0.414s	10000	8000
real	0m0.821s	10000	16000
real	0m1.651s	10000	32000
real	0m3.266s	10000	64000
real	0m6.474s	10000	128000
real	0m13.065s	10000	256000
real	0m26.471s	10000	512000
real	0m53.234s	10000	1024000
real	1m45.239s	10000	2048000
real	3m45.130s	10000	4096000
real	7m25.630s	10000	8192000
real	14m26.840s	10000	16384000
