time,numwrites,size
0.104,1000000,10
15.511,1000000,4010
30.875,1000000,8010
46.978,1000000,12010
61.316,1000000,16010
76.417,1000000,20010
91.48,1000000,24010
109.108,1000000,28010
121.626,1000000,32010
136.597,1000000,36010
155.332,1000000,40010
170.972,1000000,44010
181.811,1000000,48010
202.093,1000000,52010
213.438,1000000,56010
226.789,1000000,60010
241.827,1000000,64010
256.092,1000000,68010
279.538,1000000,72010
286.897,1000000,76010
301.778,1000000,80010
322.93,1000000,84010
331.551,1000000,88010
347.402,1000000,92010
362.325,1000000,96010
0.085,1296000,10
20.675,1296000,4010
40.156,1296000,8010
59.883,1296000,12010
81.927,1296000,16010
99.22,1296000,20010
118.624,1296000,24010
138.092,1296000,28010
157.785,1296000,32010
177.559,1296000,36010
199.132,1296000,40010
216.84,1296000,44010
235.814,1296000,48010
255.763,1296000,52010
274.247,1296000,56010
295.536,1296000,60010
313.665,1296000,64010
341.701,1296000,68010
354.697,1296000,72010
372.547,1296000,76010
392.449,1296000,80010
415.179,1296000,84010
441.997,1296000,88010
452.893,1296000,92010
474.151,1296000,96010
0.104,1592000,10
24.683,1592000,4010
49.38,1592000,8010
73.87,1592000,12010
98.232,1592000,16010
126.12,1592000,20010
146.649,1592000,24010
170.696,1592000,28010
193.748,1592000,32010
218.066,1592000,36010
243.205,1592000,40010
265.821,1592000,44010
289.677,1592000,48010
313.109,1592000,52010
337.627,1592000,56010
362.061,1592000,60010
387.536,1592000,64010
409.313,1592000,68010
435.472,1592000,72010
457.935,1592000,76010
482.195,1592000,80010
508.66,1592000,84010
544.851,1592000,88010
556.089,1592000,92010
574.153,1592000,96010
0.123,1888000,10
30.102,1888000,4010
58.298,1888000,8010
87.166,1888000,12010
115.592,1888000,16010
144.036,1888000,20010
172.846,1888000,24010
200.865,1888000,28010
230.08,1888000,32010
257.594,1888000,36010
286.092,1888000,40010
315.608,1888000,44010
353.15,1888000,48010
372.058,1888000,52010
397.785,1888000,56010
434.215,1888000,60010
458.017,1888000,64010
486.226,1888000,68010
514.421,1888000,72010
542.87,1888000,76010
570.564,1888000,80010
601.787,1888000,84010
630.497,1888000,88010
656.957,1888000,92010
684.639,1888000,96010
0.142,2184000,10
33.881,2184000,4010
67.508,2184000,8010
101.085,2184000,12010
137.473,2184000,16010
166.897,2184000,20010
200.26,2184000,24010
233.627,2184000,28010
266.481,2184000,32010
298.7,2184000,36010
332.931,2184000,40010
364.541,2184000,44010
398.894,2184000,48010
429.903,2184000,52010
463.343,2184000,56010
495.905,2184000,60010
527.028,2184000,64010
561.827,2184000,68010
595.134,2184000,72010
627.926,2184000,76010
660.711,2184000,80010
693.191,2184000,84010
725.78,2184000,88010
759.281,2184000,92010
825.024,2184000,96010
0.161,2480000,10
38.454,2480000,4010
77.306,2480000,8010
114.463,2480000,12010
151.751,2480000,16010
189.732,2480000,20010
226.974,2480000,24010
267.67,2480000,28010
302.374,2480000,32010
339.522,2480000,36010
376.149,2480000,40010
413.857,2480000,44010
451.93,2480000,48010
491.784,2480000,52010
525.497,2480000,56010
577.671,2480000,60010
602.002,2480000,64010
668.024,2480000,68010
678.15,2480000,72010
717.348,2480000,76010
754.999,2480000,80010
790.381,2480000,84010
827.17,2480000,88010
854.977,2480000,92010
899.746,2480000,96010
0.18,2776000,10
43.489,2776000,4010
85.904,2776000,8010
128.327,2776000,12010
174.716,2776000,16010
217.657,2776000,20010
254.073,2776000,24010
297.582,2776000,28010
337.715,2776000,32010
379.115,2776000,36010
423.273,2776000,40010
467.796,2776000,44010
503.876,2776000,48010
546.395,2776000,52010
596.259,2776000,56010
631.023,2776000,60010
672.598,2776000,64010
717.095,2776000,68010
760.106,2776000,72010
797.292,2776000,76010
836.728,2776000,80010
881.312,2776000,84010
917.656,2776000,88010
962.987,2776000,92010
998.603,2776000,96010
0.2,3072000,10
47.895,3072000,4010
95.144,3072000,8010
141.191,3072000,12010
188.893,3072000,16010
234.758,3072000,20010
281.805,3072000,24010
328.998,3072000,28010
372.359,3072000,32010
430.646,3072000,36010
467.043,3072000,40010
513.588,3072000,44010
559.798,3072000,48010
610.234,3072000,52010
654.016,3072000,56010
711.353,3072000,60010
744.31,3072000,64010
791.268,3072000,68010
836.235,3072000,72010
880.836,3072000,76010
946.197,3072000,80010
971.881,3072000,84010
1015.404,3072000,88010
