time,numwrites,size
0.069,1000000,10
15.253,1000000,4010
30.374,1000000,8010
45.496,1000000,12010
61.811,1000000,16010
75.852,1000000,20010
90.85,1000000,24010
107.092,1000000,28010
120.828,1000000,32010
135.636,1000000,36010
151.185,1000000,40010
166.099,1000000,44010
181.59,1000000,48010
196.297,1000000,52010
210.891,1000000,56010
226.852,1000000,60010
241.023,1000000,64010
256.319,1000000,68010
270.424,1000000,72010
285.93,1000000,76010
300.452,1000000,80010
315.075,1000000,84010
331.025,1000000,88010
344.681,1000000,92010
359.434,1000000,96010
0.083,1296000,10
19.896,1296000,4010
40.167,1296000,8010
59.48,1296000,12010
79.261,1296000,16010
98.395,1296000,20010
120.176,1296000,24010
137.425,1296000,28010
157.589,1296000,32010
176.114,1296000,36010
195.689,1296000,40010
215.018,1296000,44010
235.055,1296000,48010
254.913,1296000,52010
272.979,1296000,56010
292.675,1296000,60010
312.276,1296000,64010
330.994,1296000,68010
349.152,1296000,72010
369.474,1296000,76010
388.757,1296000,80010
408.168,1296000,84010
426.916,1296000,88010
446.357,1296000,92010
465.169,1296000,96010
0.103,1592000,10
24.406,1592000,4010
49.683,1592000,8010
73.178,1592000,12010
97.33,1592000,16010
122.234,1592000,20010
144.697,1592000,24010
168.687,1592000,28010
192.973,1592000,32010
216.321,1592000,36010
240.585,1592000,40010
264.231,1592000,44010
291.118,1592000,48010
311.17,1592000,52010
334.841,1592000,56010
359.143,1592000,60010
382.408,1592000,64010
406.665,1592000,68010
429.151,1592000,72010
454.329,1592000,76010
476.781,1592000,80010
501.311,1592000,84010
523.968,1592000,88010
548.181,1592000,92010
571.877,1592000,96010
0.12,1888000,10
29.37,1888000,4010
58.285,1888000,8010
88.407,1888000,12010
118.796,1888000,16010
143.452,1888000,20010
172.232,1888000,24010
200.085,1888000,28010
228.749,1888000,32010
256.507,1888000,36010
285.059,1888000,40010
313.097,1888000,44010
340.421,1888000,48010
369.242,1888000,52010
408.536,1888000,56010
425.34,1888000,60010
452.546,1888000,64010
481.708,1888000,68010
509.25,1888000,72010
537.508,1888000,76010
565.415,1888000,80010
593.624,1888000,84010
622.658,1888000,88010
649.569,1888000,92010
677.6,1888000,96010
0.138,2184000,10
33.584,2184000,4010
66.911,2184000,8010
102.49,2184000,12010
133.063,2184000,16010
167.09,2184000,20010
198.45,2184000,24010
231.523,2184000,28010
263.998,2184000,32010
296.445,2184000,36010
328.861,2184000,40010
367.319,2184000,44010
394.216,2184000,48010
