time,numwrites,size
0.138,2184000,10,21840000
33.584,2184000,4010,8757840000
66.911,2184000,8010,17493840000
102.49,2184000,12010,26229840000
133.063,2184000,16010,34965840000
167.09,2184000,20010,43701840000
198.45,2184000,24010,52437840000
231.523,2184000,28010,61173840000
263.998,2184000,32010,69909840000
296.445,2184000,36010,78645840000
328.861,2184000,40010,87381840000
367.319,2184000,44010,96117840000
394.216,2184000,48010,104853840000
426.223,2184000,52010,113589840000
459.219,2184000,56010,122325840000
491.671,2184000,60010,131061840000
524.431,2184000,64010,139797840000
556.755,2184000,68010,148533840000
589.053,2184000,72010,157269840000
622.679,2184000,76010,166005840000
652.771,2184000,80010,174741840000
686.26,2184000,84010,183477840000
718.988,2184000,88010,192213840000
752.247,2184000,92010,200949840000
783.86,2184000,96010,209685840000
