time,numwrites,size
0.142,2184000,10,21840000
33.881,2184000,4010,8757840000
67.508,2184000,8010,17493840000
101.085,2184000,12010,26229840000
137.473,2184000,16010,34965840000
166.897,2184000,20010,43701840000
200.26,2184000,24010,52437840000
233.627,2184000,28010,61173840000
266.481,2184000,32010,69909840000
298.7,2184000,36010,78645840000
332.931,2184000,40010,87381840000
364.541,2184000,44010,96117840000
398.894,2184000,48010,104853840000
429.903,2184000,52010,113589840000
463.343,2184000,56010,122325840000
495.905,2184000,60010,131061840000
527.028,2184000,64010,139797840000
561.827,2184000,68010,148533840000
595.134,2184000,72010,157269840000
627.926,2184000,76010,166005840000
660.711,2184000,80010,174741840000
693.191,2184000,84010,183477840000
725.78,2184000,88010,192213840000
759.281,2184000,92010,200949840000
825.024,2184000,96010,209685840000
